ingredient,form,tier,bioavailability_note,use_case,source
Maca Root,"Dried maca root powder with clear colour/type specification (yellow, red, black maca)",Acceptable,Gelatinisation improves tolerance and reduces GI discomfort while maintaining macaenes and macamides,Botanical root / adaptogenic plant supplement,science_research.xlsx (internal evidence file - needs_citation)
Maca Root,"Raw, non-gelatinised maca with no origin disclosure",Reject,Gelatinisation improves tolerance and reduces GI discomfort while maintaining macaenes and macamides,Botanical root / adaptogenic plant supplement,science_research.xlsx (internal evidence file - needs_citation)
Maca Root,mixed root adulteration,Reject,Gelatinisation improves tolerance and reduces GI discomfort while maintaining macaenes and macamides,Botanical root / adaptogenic plant supplement,science_research.xlsx (internal evidence file - needs_citation)
Glucosamine Sulfate,"Crystalline glucosamine sulfate (CGSC, e.g., Rottapharm/patent form used in RCTs): pGOS (pharmaceutical-grade glucosamine sulfate) stabilised with sodium",Superior,Sulfate form provides bioavailable glucosamine and sulfate ions needed for cartilage matrix synthesis,Amino sugar / joint-health nutraceutical,science_research.xlsx (internal evidence file - needs_citation)
Glucosamine Sulfate,"potassium chloride. This specific patent preparation was used in GAIT, GUIDE, and LEGS trials showing modest joint pain benefit",Superior,Sulfate form provides bioavailable glucosamine and sulfate ions needed for cartilage matrix synthesis,Amino sugar / joint-health nutraceutical,science_research.xlsx (internal evidence file - needs_citation)
Glucosamine Sulfate,Glucosamine sulfate (stabilised sodium,Acceptable,Sulfate form provides bioavailable glucosamine and sulfate ions needed for cartilage matrix synthesis,Amino sugar / joint-health nutraceutical,science_research.xlsx (internal evidence file - needs_citation)
Glucosamine Sulfate,"potassium salt, non-crystalline) from pharmaceutical-grade manufacturing with verified sulfate content. Second-line to crystalline GS but commonly used in combination joint products",Acceptable,Sulfate form provides bioavailable glucosamine and sulfate ions needed for cartilage matrix synthesis,Amino sugar / joint-health nutraceutical,science_research.xlsx (internal evidence file - needs_citation)
Glucosamine Sulfate,Crystalline glucosamine sulfate,Reject,Sulfate form provides bioavailable glucosamine and sulfate ions needed for cartilage matrix synthesis,Amino sugar / joint-health nutraceutical,science_research.xlsx (internal evidence file - needs_citation)
Glucosamine Sulfate,combination products clearly stating sulfate form,Reject,Sulfate form provides bioavailable glucosamine and sulfate ions needed for cartilage matrix synthesis,Amino sugar / joint-health nutraceutical,science_research.xlsx (internal evidence file - needs_citation)
Royal Jelly,Freeze-dried (lyophilised) royal jelly with standardised 10-HDA (10-hydroxy-2-decenoic acid) content,Superior,"Freeze-drying preserves bioactive proteins, fatty acids (10-HDA), and enzymes while improving shelf stability",Bee-derived bioactive substance / functional food supplement,science_research.xlsx (internal evidence file - needs_citation)
Royal Jelly,Fresh,Acceptable,"Freeze-drying preserves bioactive proteins, fatty acids (10-HDA), and enzymes while improving shelf stability",Bee-derived bioactive substance / functional food supplement,science_research.xlsx (internal evidence file - needs_citation)
Royal Jelly,"encapsulated royal jelly with declared origin, storage conditions, and batch testing",Acceptable,"Freeze-drying preserves bioactive proteins, fatty acids (10-HDA), and enzymes while improving shelf stability",Bee-derived bioactive substance / functional food supplement,science_research.xlsx (internal evidence file - needs_citation)
Royal Jelly,Heat-processed,Reject,"Freeze-drying preserves bioactive proteins, fatty acids (10-HDA), and enzymes while improving shelf stability",Bee-derived bioactive substance / functional food supplement,science_research.xlsx (internal evidence file - needs_citation)
Royal Jelly,diluted royal jelly products without 10-HDA standardisation,Reject,"Freeze-drying preserves bioactive proteins, fatty acids (10-HDA), and enzymes while improving shelf stability",Bee-derived bioactive substance / functional food supplement,science_research.xlsx (internal evidence file - needs_citation)
Royal Jelly,authenticity testing,Reject,"Freeze-drying preserves bioactive proteins, fatty acids (10-HDA), and enzymes while improving shelf stability",Bee-derived bioactive substance / functional food supplement,science_research.xlsx (internal evidence file - needs_citation)
Collagen Type II,Undenatured Type II Collagen (UC-II®) with preserved native structure and clinical validation,Superior,"Undenatured Type II works via oral immune tolerance, requiring much lower doses than hydrolysed collagen",Structural protein / joint-health nutraceutical,science_research.xlsx (internal evidence file - needs_citation)
Collagen Type II,"Hydrolysed collagen blends that clearly specify Type II source, though less targeted than UC-II",Acceptable,"Undenatured Type II works via oral immune tolerance, requiring much lower doses than hydrolysed collagen",Structural protein / joint-health nutraceutical,science_research.xlsx (internal evidence file - needs_citation)
Collagen Type II,Generic collagen powders,Reject,"Undenatured Type II works via oral immune tolerance, requiring much lower doses than hydrolysed collagen",Structural protein / joint-health nutraceutical,science_research.xlsx (internal evidence file - needs_citation)
Collagen Type II,“multi-type” collagens without Type II specification,Reject,"Undenatured Type II works via oral immune tolerance, requiring much lower doses than hydrolysed collagen",Structural protein / joint-health nutraceutical,science_research.xlsx (internal evidence file - needs_citation)
Green Lipped Mussel,"Stabilised lipid extract of green-lipped mussel with preserved omega-3 fatty acids (ETA, EPA) and antioxidant protection",Superior,Stabilised lipid extracts retain bioactive omega-3s and reduce oxidation-related potency loss,Marine lipid extract / omega-3–rich joint-health nutraceutical,science_research.xlsx (internal evidence file - needs_citation)
Green Lipped Mussel,Freeze-dried whole mussel powder with declared origin and lipid content,Acceptable,Stabilised lipid extracts retain bioactive omega-3s and reduce oxidation-related potency loss,Marine lipid extract / omega-3–rich joint-health nutraceutical,science_research.xlsx (internal evidence file - needs_citation)
Green Lipped Mussel,Non-stabilised powders,Reject,Stabilised lipid extracts retain bioactive omega-3s and reduce oxidation-related potency loss,Marine lipid extract / omega-3–rich joint-health nutraceutical,science_research.xlsx (internal evidence file - needs_citation)
Green Lipped Mussel,"products without lipid standardisation, leading to oxidation",Reject,Stabilised lipid extracts retain bioactive omega-3s and reduce oxidation-related potency loss,Marine lipid extract / omega-3–rich joint-health nutraceutical,science_research.xlsx (internal evidence file - needs_citation)
Grapefruit Seed Extract,"Authentic GSE verified to contain natural citrus bioflavonoids (e.g., naringin) without synthetic preservatives",Superior,"Verified, unadulterated GSE avoids exposure to undeclared synthetic disinfectants and ensures label honesty",Botanical extract / citrus polyphenol–based supplement,science_research.xlsx (internal evidence file - needs_citation)
Grapefruit Seed Extract,GSE products with full compositional disclosure and independent lab verification of natural constituents,Acceptable,"Verified, unadulterated GSE avoids exposure to undeclared synthetic disinfectants and ensures label honesty",Botanical extract / citrus polyphenol–based supplement,science_research.xlsx (internal evidence file - needs_citation)
Grapefruit Seed Extract,"Products adulterated with synthetic antimicrobials (e.g., benzethonium chloride, triclosan, parabens) falsely marketed as GSE",Reject,"Verified, unadulterated GSE avoids exposure to undeclared synthetic disinfectants and ensures label honesty",Botanical extract / citrus polyphenol–based supplement,science_research.xlsx (internal evidence file - needs_citation)
